io.netty.util.internal.CleanerJava6,<clinit>,()V,44
io.netty.util.internal.NativeLibraryLoader$2,run,()Ljava/lang/Class;,24
io.netty.util.internal.NativeLibraryLoader$2,run,()Ljava/lang/Class;,20
io.netty.util.internal.PlatformDependent0,<clinit>,()V,201
io.netty.util.internal.PlatformDependent0,<clinit>,()V,354
io.netty.util.internal.PlatformDependent0$1,run,()Ljava/lang/Object;,14
io.netty.util.internal.PlatformDependent0$5,run,()Ljava/lang/Object;,59
io.netty.util.internal.PlatformDependent0$6,run,()Ljava/lang/Object;,15
io.netty.buffer.AbstractReferenceCountedByteBuf,<clinit>,()V,2
io.netty.util.internal.logging.Log4J2Logger$1,run,()Ljava/lang/Boolean;,12
io.netty.util.internal.shaded.org.jctools.util.UnsafeAccess,hasGetAndSetSupport,()Z,16
io.netty.util.internal.shaded.org.jctools.util.UnsafeAccess,hasGetAndAddLongSupport,()Z,16
io.netty.util.internal.shaded.org.jctools.util.UnsafeAccess,getUnsafe,()Lsun/misc/Unsafe;,9
io.netty.util.internal.shaded.org.jctools.queues.BaseLinkedQueueProducerNodeRef,<clinit>,()V,2
